,index,227
0,1752,18704720
1,1753,28058912
2,1754,37416768
3,1755,46778288
4,1756,56784672
5,1757,66794720
6,1758,76808432
7,1759,86825808
8,1760,96843184
9,1761,107816864
10,1762,118794208
11,1763,129775216
12,1764,140759888
13,1765,151748224
14,1766,164007968
15,1767,176271376
16,1768,188538448
17,1769,200809184
18,1770,213083584
19,1771,226695344
20,1772,240310768
21,1773,253929856
22,1774,267552608
23,1775,281179024
24,1776,296216080
25,1777,311256800
26,1778,326301184
27,1779,341349232
28,1780,356404608
29,1781,373248016
30,1782,390095088
31,1783,406949488
32,1784,423807552
33,1785,440676608
34,1786,459828336
35,1787,478987392
36,1788,498150112
37,1789,517320160
38,1790,536497536
39,1791,557917280
40,1792,579813344
41,1793,601727728
42,1794,623609136
43,1795,645501536
44,1796,668452832
45,1797,692547296
46,1798,717642032
47,1799,744070464
48,1800,772162352
49,1801,800122336
50,1802,836905232
51,1803,868393648
52,1804,902703344
53,1805,936122688
54,1806,971168848
55,1807,1008043344
56,1808,1043107824
57,1809,1078197952
58,1810,1115578080
59,1811,1155160272
60,1812,1196167760
61,1813,1237387760
62,1814,1279516432
63,1815,1323004448
64,1816,1370669424
65,1817,1420100448
66,1818,1469743984
67,1819,1519691632
68,1820,1570379408
69,1821,1621814640
70,1822,1675279728
71,1823,1731829904
72,1824,1790354976
73,1825,1851111424
74,1826,1912531056
75,1827,1978446416
76,1828,2045083584
77,1829,2111478928
78,1830,2200602064
79,1831,2285130544
80,1832,2370241600
81,1833,2457049088
82,1834,2545534688
83,1835,2635980528
84,1836,2740756272
85,1837,2845447744
86,1838,2953491776
87,1839,3065104544
88,1840,3184034320
89,1841,3306653744
90,1842,3436157824
91,1843,3569010800
92,1844,3710433872
93,1845,3865644576
94,1846,4023438400
95,1847,4195840592
96,1848,4369657088
97,1849,4553168528
98,1850,4750064560
99,1851,4948807248
100,1852,5156303232
101,1853,5373402560
102,1854,5628413296
103,1855,5888447376
104,1856,6165555696
105,1857,6445236144
106,1858,6729203472
107,1859,7030204736
108,1860,7360913712
109,1861,7708700592
110,1862,8062815200
111,1863,8440738480
112,1864,8847889488
113,1865,9280256144
114,1866,9726293184
115,1867,10204108096
116,1868,10694860592
117,1869,11215991312
118,1870,11748528064
119,1871,12314671024
120,1872,12941042816
121,1873,13606461856
122,1874,14229459104
123,1875,14905258256
124,1876,15590810976
125,1877,16289909504
126,1878,16994474720
127,1879,17749511536
128,1880,18603403072
129,1881,19485991056
130,1882,20418119984
131,1883,21409393200
132,1884,22411823296
133,1885,23421731616
134,1886,24447461088
135,1887,25524504880
136,1888,26717089248
137,1889,27909244928
138,1890,29208099952
139,1891,30567399984
140,1892,31937941168
141,1893,33292078624
142,1894,34693452368
143,1895,36179372912
144,1896,37713779168
145,1897,39320824224
146,1898,41015933520
147,1899,42867759424
148,1900,44821067136
149,1901,46839037120
150,1902,48908134560
151,1903,51165404048
152,1904,53446628768
153,1905,55875296512
154,1906,58426162320
155,1907,61310822192
156,1908,64086525696
157,1909,66971819440
158,1910,69997836432
159,1911,73079073568
160,1912,76305793488
161,1913,79797156800
162,1914,82965234400
163,1915,86090391904
164,1916,89462715520
165,1917,92991092560
166,1918,96471778976
167,1919,99488419792
168,1920,103000000000.0
169,1921,106000000000.0
170,1922,109000000000.0
171,1923,113000000000.0
172,1924,117000000000.0
173,1925,120000000000.0
174,1926,124000000000.0
175,1927,128000000000.0
176,1928,132000000000.0
177,1929,136000000000.0
178,1930,140000000000.0
179,1931,144000000000.0
180,1932,147000000000.0
181,1933,150000000000.0
182,1934,154000000000.0
183,1935,158000000000.0
184,1936,162000000000.0
185,1937,167000000000.0
186,1938,171000000000.0
187,1939,175000000000.0
188,1940,180000000000.0
189,1941,185000000000.0
190,1942,190000000000.0
191,1943,196000000000.0
192,1944,201000000000.0
193,1945,205000000000.0
194,1946,210000000000.0
195,1947,215000000000.0
196,1948,221000000000.0
197,1949,226000000000.0
198,1950,232000000000.0
199,1951,238000000000.0
200,1952,244000000000.0
201,1953,251000000000.0
202,1954,257000000000.0
203,1955,264000000000.0
204,1956,272000000000.0
205,1957,280000000000.0
206,1958,288000000000.0
207,1959,297000000000.0
208,1960,307000000000.0
209,1961,316000000000.0
210,1962,326000000000.0
211,1963,336000000000.0
212,1964,347000000000.0
213,1965,359000000000.0
214,1966,371000000000.0
215,1967,383000000000.0
216,1968,396000000000.0
217,1969,410000000000.0
218,1970,425000000000.0
219,1971,440000000000.0
220,1972,457000000000.0
221,1973,473000000000.0
222,1974,490000000000.0
223,1975,507000000000.0
224,1976,525000000000.0
225,1977,543000000000.0
226,1978,562000000000.0
227,1979,581000000000.0
228,1980,601000000000.0
229,1981,620000000000.0
230,1982,638000000000.0
231,1983,657000000000.0
232,1984,676000000000.0
233,1985,696000000000.0
234,1986,716000000000.0
235,1987,737000000000.0
236,1988,759000000000.0
237,1989,781000000000.0
238,1990,803000000000.0
239,1991,826000000000.0
240,1992,848000000000.0
241,1993,870000000000.0
242,1994,892000000000.0
243,1995,915000000000.0
244,1996,939000000000.0
245,1997,963000000000.0
246,1998,987000000000.0
247,1999,1010000000000.0
248,2000,1040000000000.0
249,2001,1060000000000.0
250,2002,1090000000000.0
251,2003,1110000000000.0
252,2004,1140000000000.0
253,2005,1170000000000.0
254,2006,1200000000000.0
255,2007,1230000000000.0
256,2008,1260000000000.0
257,2009,1290000000000.0
258,2010,1330000000000.0
259,2011,1360000000000.0
260,2012,1400000000000.0
261,2013,1430000000000.0
262,2014,1470000000000.0
263,2015,1500000000000.0
264,2016,1540000000000.0
265,2017,1580000000000.0
